"","V1","V2","V3","V4","V5"
"295","SLC5A7","EGR1","0","0","FALSE"
"296","SLC5A7","LINGO2","0","0","FALSE"
"297","SLC5A7","RP11_438B23_2","0","0","FALSE"
"298","SLC5A7","FAM216B","0","0","FALSE"
"299","SLC5A7","FOSB","0","0","FALSE"
"300","SLC5A7","SLC5A7","0","0","FALSE"
"301","CIDEA","C18orf42","0","0","FALSE"
"302","CIDEA","SERPINA3","0","0","FALSE"
"303","CIDEA","ADGB","0","0","FALSE"
"304","CIDEA","FAM92B","0","0","FALSE"
"305","CIDEA","AC104809_3","0","0","FALSE"
"306","CIDEA","CLIC6","0","0","FALSE"
"307","CIDEA","FAM216B","0","0","FALSE"
"308","CIDEA","FAM92B","0","0","FALSE"
"309","CIDEA","FAM92B","0","0","FALSE"
"310","CIDEA","FAM216B","0","0","FALSE"
"311","CIDEA","ADGB","0","0","FALSE"
"312","CIDEA","CCDC33","0","0","FALSE"
"313","CIDEA","AC104809_3","0","0","FALSE"
"314","CIDEA","NTS","0","0","FALSE"
"315","CIDEA","FAM216B","0","0","FALSE"
"316","CIDEA","FAM92B","0","0","FALSE"
"317","CIDEA","FAM92B","0","0","FALSE"
"318","CIDEA","COL6A5","0","0","FALSE"
"319","CIDEA","EGR1","0","0","FALSE"
"320","CIDEA","LINGO2","0","0","FALSE"
"321","CIDEA","RP11_438B23_2","0","0","FALSE"
"322","CIDEA","FAM216B","0","0","FALSE"
"323","CIDEA","FOSB","0","0","FALSE"
"324","CIDEA","SLC5A7","0","0","FALSE"
"325","CIDEA","CIDEA","0","0","FALSE"
"326","GP2","C18orf42","0","0","FALSE"
"327","GP2","SERPINA3","0","0","FALSE"
"328","GP2","ADGB","0","0","FALSE"
"329","GP2","FAM92B","0","0","FALSE"
"330","GP2","AC104809_3","0","0","FALSE"
"331","GP2","CLIC6","0","0","FALSE"
"332","GP2","FAM216B","0","0","FALSE"
"333","GP2","FAM92B","0","0","FALSE"
"334","GP2","FAM92B","0","0","FALSE"
"335","GP2","FAM216B","0","0","FALSE"
"336","GP2","ADGB","0","0","FALSE"
"337","GP2","CCDC33","0","0","FALSE"
"338","GP2","AC104809_3","0","0","FALSE"
"339","GP2","NTS","0","0","FALSE"
"340","GP2","FAM216B","0","0","FALSE"
"341","GP2","FAM92B","0","0","FALSE"
"342","GP2","FAM92B","0","0","FALSE"
"343","GP2","COL6A5","0","0","FALSE"
"344","GP2","EGR1","0","0","FALSE"
"345","GP2","LINGO2","0","0","FALSE"
"346","GP2","RP11_438B23_2","0","0","FALSE"
"347","GP2","FAM216B","0","0","FALSE"
"348","GP2","FOSB","0","0","FALSE"
"349","GP2","SLC5A7","0","0","FALSE"
"350","GP2","CIDEA","0","0","FALSE"
"351","GP2","GP2","0","0","FALSE"
"352","PRSS1","C18orf42","0","0","FALSE"
"353","PRSS1","SERPINA3","0","0","FALSE"
"354","PRSS1","ADGB","0","0","FALSE"
"355","PRSS1","FAM92B","0","0","FALSE"
"356","PRSS1","AC104809_3","0","0","FALSE"
"357","PRSS1","CLIC6","0","0","FALSE"
"358","PRSS1","FAM216B","0","0","FALSE"
"359","PRSS1","FAM92B","0","0","FALSE"
"360","PRSS1","FAM92B","0","0","FALSE"
"361","PRSS1","FAM216B","0","0","FALSE"
"362","PRSS1","ADGB","0","0","FALSE"
"363","PRSS1","CCDC33","0","0","FALSE"
"364","PRSS1","AC104809_3","0","0","FALSE"
"365","PRSS1","NTS","0","0","FALSE"
"366","PRSS1","FAM216B","0","0","FALSE"
"367","PRSS1","FAM92B","0","0","FALSE"
"368","PRSS1","FAM92B","0","0","FALSE"
"369","PRSS1","COL6A5","0","0","FALSE"
"370","PRSS1","EGR1","0","0","FALSE"
"371","PRSS1","LINGO2","0","0","FALSE"
"372","PRSS1","RP11_438B23_2","0","0","FALSE"
"373","PRSS1","FAM216B","0","0","FALSE"
"374","PRSS1","FOSB","0","0","FALSE"
"375","PRSS1","SLC5A7","0","0","FALSE"
"376","PRSS1","CIDEA","0","0","FALSE"
"377","PRSS1","GP2","0","0","FALSE"
"378","PRSS1","PRSS1","0","0","FALSE"
"379","UPK1B","C18orf42","0","0","FALSE"
"380","UPK1B","SERPINA3","0","0","FALSE"
"381","UPK1B","ADGB","0","0","FALSE"
"382","UPK1B","FAM92B","0","0","FALSE"
"383","UPK1B","AC104809_3","0","0","FALSE"
"384","UPK1B","CLIC6","0","0","FALSE"
"385","UPK1B","FAM216B","0","0","FALSE"
"386","UPK1B","FAM92B","0","0","FALSE"
"387","UPK1B","FAM92B","0","0","FALSE"
"388","UPK1B","FAM216B","0","0","FALSE"
"389","UPK1B","ADGB","0","0","FALSE"
"390","UPK1B","CCDC33","0","0","FALSE"
"391","UPK1B","AC104809_3","0","0","FALSE"
"392","UPK1B","NTS","0","0","FALSE"
"393","UPK1B","FAM216B","0","0","FALSE"
"394","UPK1B","FAM92B","0","0","FALSE"
"395","UPK1B","FAM92B","0","0","FALSE"
"396","UPK1B","COL6A5","0","0","FALSE"
"397","UPK1B","EGR1","0","0","FALSE"
"398","UPK1B","LINGO2","0","0","FALSE"
"399","UPK1B","RP11_438B23_2","0","0","FALSE"
"400","UPK1B","FAM216B","0","0","FALSE"
"401","UPK1B","FOSB","0","0","FALSE"
"402","UPK1B","SLC5A7","0","0","FALSE"
"403","UPK1B","CIDEA","0","0","FALSE"
"404","UPK1B","GP2","0","0","FALSE"
"405","UPK1B","PRSS1","0","0","FALSE"
"406","UPK1B","UPK1B","0","0","FALSE"
