source target value sign exists
FOSB FOSB 0 0 FALSE
SLC5A7 C18orf42 0 0 FALSE
SLC5A7 SERPINA3 0 0 FALSE
SLC5A7 ADGB 0 0 FALSE
SLC5A7 FAM92B 0 0 FALSE
SLC5A7 AC104809_3 0 0 FALSE
SLC5A7 CLIC6 0 0 FALSE
SLC5A7 FAM216B 0 0 FALSE
SLC5A7 FAM92B 0 0 FALSE
SLC5A7 FAM92B 0 0 FALSE
SLC5A7 FAM216B 0 0 FALSE
SLC5A7 ADGB 0 0 FALSE
SLC5A7 CCDC33 0 0 FALSE
SLC5A7 AC104809_3 0 0 FALSE
SLC5A7 NTS 0 0 FALSE
SLC5A7 FAM216B 0 0 FALSE
SLC5A7 FAM92B 0 0 FALSE
SLC5A7 FAM92B 0 0 FALSE
SLC5A7 COL6A5 0 0 FALSE
SLC5A7 EGR1 0 0 FALSE
SLC5A7 LINGO2 0 0 FALSE
SLC5A7 RP11_438B23_2 0 0 FALSE
SLC5A7 FAM216B 0 0 FALSE
SLC5A7 FOSB 0 0 FALSE
SLC5A7 SLC5A7 0 0 FALSE
CIDEA C18orf42 0 0 FALSE
CIDEA SERPINA3 0 0 FALSE
CIDEA ADGB 0 0 FALSE
CIDEA FAM92B 0 0 FALSE
CIDEA AC104809_3 0 0 FALSE
CIDEA CLIC6 0 0 FALSE
CIDEA FAM216B 0 0 FALSE
CIDEA FAM92B 0 0 FALSE
CIDEA FAM92B 0 0 FALSE
CIDEA FAM216B 0 0 FALSE
CIDEA ADGB 0 0 FALSE
CIDEA CCDC33 0 0 FALSE
CIDEA AC104809_3 0 0 FALSE
CIDEA NTS 0 0 FALSE
CIDEA FAM216B 0 0 FALSE
CIDEA FAM92B 0 0 FALSE
CIDEA FAM92B 0 0 FALSE
CIDEA COL6A5 0 0 FALSE
CIDEA EGR1 0 0 FALSE
CIDEA LINGO2 0 0 FALSE
CIDEA RP11_438B23_2 0 0 FALSE
CIDEA FAM216B 0 0 FALSE
